Group: Group1, Day 1, Pair 1: Subject Subject3, Teacher T1, Room Room6, Type: Lecture
Group: Group1, Day 1, Pair 2: Subject Subject2, Teacher T4, Room Room4, Type: Lecture
Group: Group1, Day 1, Pair 3: Subject Subject6, Teacher T4, Room Room5, Type: Practice
Group: Group1, Day 2, Pair 2: Subject Subject6, Teacher T5, Room Room1, Type: Lecture
Group: Group1, Day 3, Pair 1: Subject Subject6, Teacher T6, Room Room4, Type: Practice
Group: Group1, Day 3, Pair 2: Subject Subject6, Teacher T5, Room Room5, Type: Lecture
Group: Group1, Day 4, Pair 1: Subject Subject6, Teacher T4, Room Room6, Type: Practice
Group: Group2, Day 1, Pair 3: Subject Subject6, Teacher T1, Room Room1, Type: Lecture
Group: Group2, Day 3, Pair 1: Subject Subject6, Teacher T1, Room Room6, Type: Lecture
Group: Group2, Day 4, Pair 3: Subject Subject6, Teacher T1, Room Room5, Type: Lecture
Group: Group3, Day 1, Pair 1: Subject Subject5, Teacher T3, Room Room1, Type: Lecture
Group: Group3, Day 2, Pair 2: Subject Subject5, Teacher T4, Room Room5, Type: Practice
Group: Group3-ï/ã1, Day 2, Pair 3: Subject Subject2, Teacher T5, Room Room1, Type: Practice
Group: Group3-ï/ã1, Day 3, Pair 2: Subject Subject2, Teacher T6, Room Room4, Type: Practice
Group: Group3-ï/ã1, Day 4, Pair 2: Subject Subject2, Teacher T6, Room Room1, Type: Practice
Group: Group3-ï/ã2, Day 2, Pair 1: Subject Subject2, Teacher T6, Room Room6, Type: Practice
Group: Group3-ï/ã2, Day 3, Pair 1: Subject Subject2, Teacher T5, Room Room2, Type: Practice
Group: Group3-ï/ã2, Day 4, Pair 2: Subject Subject2, Teacher T5, Room Room6, Type: Practice
Group: Group4, Day 1, Pair 1: Subject Subject1, Teacher T5, Room Room2, Type: Lecture
Group: Group4, Day 1, Pair 2: Subject Subject6, Teacher T1, Room Room1, Type: Lecture
Group: Group4, Day 2, Pair 2: Subject Subject5, Teacher T3, Room Room4, Type: Lecture
Group: Group4, Day 2, Pair 3: Subject Subject1, Teacher T1, Room Room6, Type: Lecture
Group: Group4, Day 3, Pair 1: Subject Subject1, Teacher T3, Room Room5, Type: Lecture
Group: Group4, Day 3, Pair 3: Subject Subject1, Teacher T1, Room Room4, Type: Lecture
Group: Group4, Day 4, Pair 1: Subject Subject1, Teacher T1, Room Room1, Type: Lecture
Group: Group4, Day 4, Pair 2: Subject Subject1, Teacher T1, Room Room4, Type: Lecture
Group: Group4-ï/ã1, Day 2, Pair 1: Subject Subject3, Teacher T2, Room Room2, Type: Practice
Group: Group4-ï/ã1, Day 3, Pair 2: Subject Subject5, Teacher T4, Room Room6, Type: Practice
Group: Group4-ï/ã2, Day 1, Pair 3: Subject Subject3, Teacher T2, Room Room2, Type: Practice
Group: Group4-ï/ã2, Day 4, Pair 3: Subject Subject5, Teacher T4, Room Room1, Type: Practice
